wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_num_triplets,align=0.925_p=0.0078125,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.623,0.623,0.9325,0.935,1.0,0.96,0.96,1.0,0.97,0.97,1.0
wv_3d_num_triplets,align=0.925_p=0.0078125,TN,1,"[256, 1, 256, 256]",512,0.0,0.9975,0.66425,0.66425,0.8825,0.885,1.0,0.8725,0.875,1.0,0.88,0.88,1.0
wv_3d_num_triplets,align=0.925_p=0.0078125,MTL0.8,1,"[256, 1, 256, 256]",512,0.8,0.9975,0.62825,0.62825,0.9575,0.96,0.99,0.965,0.965,0.9925,0.9625,0.9625,0.9975
wv_3d_num_triplets,align=0.925_p=0.0078125,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9975,0.61975,0.61975,0.965,0.9675,1.0,0.96,0.96,1.0,0.9675,0.9675,1.0
wv_3d_num_triplets,align=0.925_p=0.015625,MTL0.2,0,"[256, 1, 256, 256]",512,0.2,1.0,0.66425,0.66425,0.8675,0.8675,1.0,0.895,0.895,1.0,0.9125,0.9125,1.0
wv_3d_num_triplets,align=0.925_p=0.015625,MTL0.2,1,"[256, 1, 256, 256]",512,0.2,0.9925,0.6482500000000001,0.6482500000000001,0.8575,0.8575,1.0,0.86,0.86,1.0,0.89,0.89,1.0
wv_3d_num_triplets,align=0.925_p=0.015625,MTL0.8,1,"[256, 1, 256, 256]",512,0.8,0.995,0.622,0.622,0.9025,0.905,1.0,0.9275,0.93,1.0,0.9425,0.945,1.0
wv_3d_num_triplets,align=0.925_p=0.015625,TN,1,"[256, 1, 256, 256]",512,0.0,0.9925,0.6802499999999999,0.6802499999999999,0.8225,0.8225,1.0,0.8525,0.85,1.0,0.86,0.86,1.0
wv_3d_num_triplets,align=0.925_p=0.03125,MTL0.2,0,"[256, 1, 256, 256]",512,0.2,0.9975,0.7115,0.7115,0.895,0.895,1.0,0.915,0.915,1.0,0.9025,0.9025,1.0
wv_3d_num_triplets,align=0.925_p=0.03125,MTL0.2,1,"[256, 1, 256, 256]",512,0.2,0.995,0.702,0.702,0.9075,0.905,1.0,0.93,0.93,1.0,0.9225,0.9225,1.0
wv_3d_num_triplets,align=0.925_p=0.03125,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9975,0.6735,0.6735,0.9075,0.91,1.0,0.92,0.9225,1.0,0.905,0.905,1.0
wv_3d_num_triplets,align=0.925_p=0.03125,MTL0.8,1,"[256, 1, 256, 256]",512,0.8,0.9975,0.64025,0.64025,0.8875,0.89,1.0,0.92,0.9225,1.0,0.9125,0.9125,1.0
wv_3d_num_triplets,align=0.925_p=0.0625,MTL0.2,0,"[256, 1, 256, 256]",512,0.2,0.9975,0.7464999999999999,0.7464999999999999,0.89,0.89,1.0,0.91,0.91,1.0,0.9175,0.9175,1.0
wv_3d_num_triplets,align=0.925_p=0.0625,TN,0,"[256, 1, 256, 256]",512,0.0,0.9975,0.76025,0.76025,0.845,0.8475,1.0,0.8625,0.865,1.0,0.8825,0.8825,1.0
wv_3d_num_triplets,align=0.925_p=0.0625,MTL0.2,1,"[256, 1, 256, 256]",512,0.2,0.9975,0.74975,0.74975,0.91,0.9125,1.0,0.9225,0.925,1.0,0.9125,0.9125,1.0
wv_3d_num_triplets,align=0.925_p=0.0625,MTL0.8,1,"[256, 1, 256, 256]",512,0.8,0.9975,0.715,0.715,0.9325,0.935,1.0,0.9525,0.9525,1.0,0.96,0.96,1.0
wv_3d_num_triplets,align=0.925_p=0.0625,TN,1,"[256, 1, 256, 256]",512,0.0,0.9975,0.7605000000000001,0.7605000000000001,0.8725,0.87,1.0,0.89,0.89,1.0,0.8975,0.8975,1.0
wv_3d_num_triplets,align=0.925_p=0.125,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.7837500000000001,0.7837500000000001,0.9575,0.9575,1.0,0.95,0.95,1.0,0.9625,0.9625,1.0
wv_3d_num_triplets,align=0.925_p=0.125,TN,0,"[256, 1, 256, 256]",512,0.0,0.9925,0.7905,0.7905,0.875,0.8775,1.0,0.905,0.905,1.0,0.9175,0.9175,1.0
wv_3d_num_triplets,align=0.925_p=0.125,MTL0.2,1,"[256, 1, 256, 256]",512,0.2,0.9975,0.7657499999999999,0.7657499999999999,0.9275,0.93,1.0,0.9325,0.9325,1.0,0.9375,0.9375,1.0
wv_3d_num_triplets,align=0.925_p=0.125,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.995,0.7685000000000001,0.7685000000000001,0.945,0.945,1.0,0.95,0.95,1.0,0.95,0.95,1.0
wv_3d_num_triplets,align=0.925_p=0.125,MTL0.8,1,"[256, 1, 256, 256]",512,0.8,0.9975,0.767,0.767,0.94,0.9375,1.0,0.955,0.955,1.0,0.9625,0.9625,1.0
wv_3d_num_triplets,align=0.925_p=0.25,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,1.0,0.812,0.812,0.925,0.925,1.0,0.925,0.925,1.0,0.9325,0.9325,1.0
wv_3d_num_triplets,align=0.925_p=0.25,TN,0,"[256, 1, 256, 256]",512,0.0,0.9975,0.8137500000000001,0.8137500000000001,0.89,0.89,1.0,0.9125,0.9125,1.0,0.9175,0.9175,1.0
wv_3d_num_triplets,align=0.925_p=0.25,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9975,0.8019999999999999,0.8019999999999999,0.9525,0.9525,1.0,0.9675,0.9675,1.0,0.9575,0.9575,1.0
wv_3d_num_triplets,align=0.925_p=0.25,MTL0.8,1,"[256, 1, 256, 256]",512,0.8,0.995,0.8014999999999999,0.8014999999999999,0.95,0.9475,1.0,0.9325,0.9325,1.0,0.935,0.935,1.0
wv_3d_num_triplets,align=0.925_p=0.25,TN,1,"[256, 1, 256, 256]",512,0.0,0.995,0.8225000000000001,0.8225000000000001,0.9225,0.9225,1.0,0.93,0.93,1.0,0.9525,0.9525,1.0
wv_3d_num_triplets,align=0.925_p=0.5,TN,0,"[256, 1, 256, 256]",512,0.0,0.995,0.8210000000000001,0.8210000000000001,0.94,0.94,1.0,0.9225,0.9225,1.0,0.9325,0.935,1.0
wv_3d_num_triplets,align=0.8_p=0.0078125,MTL0.2,0,"[1, 0, 1, 1]",512,0.2,0.9975,0.63775,0.63775,0.88,0.88,1.0,0.9,0.9,1.0,0.88,0.88,1.0
